"Scientific name","Common_name","Target status","Surf zone","Kelp forest","Shallow reef","Deep reef"
"Agonidae spp",NA,"Nontargeted",NA,NA,NA,"X"
"Alopias vulpinus","Thresher","Targeted",NA,"X","X",NA
"Ammodytes hexapterus","Pacific sand lance","Targeted",NA,NA,NA,"X"
"Amphistichus argenteus","Barred surfperch","Targeted","X","X",NA,"X"
"Amphistichus koelzi","Calico surfperch","Targeted","X",NA,NA,NA
"Amphistichus rhodoterus","Redtail surfperch","Targeted","X",NA,NA,NA
"Anarrhichthys ocellatus","Wolf-eel","Nontargeted",NA,"X","X","X"
"Anisotremus davidsonii","Xantic sargo","Targeted",NA,"X","X",NA
"Anoplagonus inermis","Smooth alligatorfish","Nontargeted",NA,"X",NA,NA
"Anoplopoma fimbria","Sablefish","Targeted",NA,NA,NA,"X"
"Apodichthys flavidus","Penpoint gunnel","Nontargeted",NA,"X",NA,NA
"Apogon guadalupensis","Guadalupe cardinalfish","Nontargeted",NA,"X",NA,NA
"Apristurus brunneus","Brown catshark","Nontargeted",NA,NA,NA,"X"
"Artedius harringtoni","Scalyhead sculpin","Nontargeted",NA,NA,"X",NA
"Atherinidae spp",NA,"Targeted","X",NA,NA,NA
"Atherinops affinis","Topsmelt silverside","Targeted","X",NA,"X",NA
"Atherinopsidae spp",NA,"Nontargeted",NA,"X","X",NA
"Atherinopsis californiensis","Jack silverside","Targeted",NA,NA,"X",NA
"Atractoscion nobilis","White weakfish","Targeted","X","X","X",NA
"Aulorhynchus flavidus","Tube-snout","Nontargeted","X","X","X","X"
"Balistes polylepis","Finescale triggerfish","Nontargeted",NA,"X",NA,NA
"Bathymasteridae spp",NA,"Nontargeted",NA,"X",NA,NA
"Beringraja binoculata","Big skate","Targeted",NA,"X",NA,"X"
"Beringraja rhina","Longnose skate","Targeted",NA,NA,NA,"X"
"Beringraja stellulata","Starry skate","Targeted",NA,"X","X","X"
"Bothidae spp",NA,"Targeted",NA,"X",NA,NA
"Brachygenys californiensis","Californian salema","Targeted",NA,"X","X",NA
"Brachyistius frenatus","Kelp perch","Nontargeted","X","X",NA,"X"
"Caliraja spp",NA,"Targeted",NA,NA,NA,"X"
"Carcharhinus obscurus","Dusky shark","Targeted",NA,"X",NA,NA
"Caulolatilus princeps","Ocean whitefish","Targeted",NA,"X","X","X"
"Cebidichthys violaceus","Monkeyface prickleback","Targeted",NA,"X",NA,NA
"Cephaloscyllium ventriosum","Swellshark","Nontargeted",NA,"X",NA,"X"
"Cheilotrema saturnum","Black croaker","Targeted","X","X",NA,NA
"Chromis punctipinnis","Blacksmith","Nontargeted",NA,"X","X","X"
"Citharichthys sordidus","Pacific sanddab","Targeted",NA,"X","X","X"
"Citharichthys spp",NA,"Targeted",NA,"X","X",NA
"Citharichthys stigmaeus","Speckled sanddab","Targeted","X","X","X",NA
"Citharichthys xanthostigma","Longfin sanddab","Targeted",NA,NA,"X",NA
"Clinidae spp",NA,"Nontargeted","X",NA,NA,NA
"Clupea pallasii","Pacific herring","Targeted","X",NA,NA,NA
"Cottidae spp",NA,"Nontargeted",NA,NA,NA,"X"
"Cryptacanthodes giganteus","Giant wrymouth","Nontargeted",NA,"X",NA,NA
"Cymatogaster aggregata","Shiner perch","Targeted","X","X",NA,"X"
"Decapterus macarellus","Mackerel scad","Targeted",NA,"X",NA,NA
"Embiotoca jacksoni","Black perch","Targeted","X","X",NA,"X"
"Embiotoca lateralis","Striped seaperch","Targeted","X","X","X","X"
"Embiotocidae spp",NA,"Targeted",NA,"X",NA,"X"
"Engraulis mordax","Californian anchovy","Targeted","X","X","X",NA
"Enophrys bison","Buffalo sculpin","Nontargeted",NA,"X","X","X"
"Enophrys taurina","Bull sculpin","Nontargeted",NA,NA,"X",NA
"Entosphenus tridentatus","Pacific lamprey","Nontargeted",NA,NA,NA,"X"
"Eopsetta jordani","Petrale sole","Targeted",NA,NA,"X","X"
"Eptatretus stoutii","Pacific hagfish","Targeted",NA,NA,NA,"X"
"Ernogrammus walkeri","Masked prickleback","Nontargeted",NA,"X",NA,NA
"Fundulus parvipinnis","California killifish","Nontargeted","X",NA,NA,NA
"Gadidae spp",NA,"Nontargeted",NA,NA,NA,"X"
"Galeorhinus galeus","Tope shark","Targeted",NA,"X","X",NA
"Genyonemus lineatus","White croaker","Targeted","X",NA,"X",NA
"Gibbonsia metzi","Striped kelpfish","Nontargeted","X",NA,NA,"X"
"Gibbonsia montereyensis","Crevice kelpfish","Nontargeted","X",NA,NA,NA
"Gibbonsia spp",NA,"Nontargeted","X",NA,NA,NA
"Girella nigricans","Opaleye","Targeted","X","X","X","X"
"Glyptocephalus zachirus","Rex sole","Targeted",NA,NA,NA,"X"
"Gobiesox maeandricus","Northern clingfish","Nontargeted",NA,"X",NA,NA
"Gobiidae spp",NA,"Nontargeted",NA,NA,NA,"X"
"Gymnothorax mordax","California moray","Nontargeted",NA,"X",NA,"X"
"Halichoeres semicinctus","Rock wrasse","Nontargeted",NA,"X","X","X"
"Hemilepidotus hemilepidotus","Red Irish lord","Nontargeted",NA,"X",NA,NA
"Hemilepidotus spinosus","Brown Irish lord","Nontargeted",NA,"X",NA,NA
"Heterodontus francisci","Horn shark","Nontargeted",NA,"X",NA,"X"
"Heterostichus rostratus","Giant kelpfish","Nontargeted","X","X",NA,NA
"Hexagrammidae spp",NA,"Targeted",NA,NA,NA,"X"
"Hexagrammos decagrammus","Kelp greenling","Targeted",NA,"X","X","X"
"Hexagrammos lagocephalus","Rock greenling","Targeted",NA,"X","X","X"
"Hexagrammos spp",NA,"Targeted",NA,"X",NA,NA
"Hexanchus griseus","Bluntnose sixgill shark","Targeted",NA,"X",NA,"X"
"Hippoglossina stomata","Bigmouth flounder","Targeted",NA,NA,"X",NA
"Hippoglossus stenolepis","Pacific halibut","Targeted",NA,NA,"X","X"
"Hydrolagus colliei","Spotted ratfish","Nontargeted",NA,NA,NA,"X"
"Hyperprosopon anale","Spotfin surfperch","Targeted","X","X",NA,NA
"Hyperprosopon argenteum","Walleye surfperch","Targeted","X","X",NA,NA
"Hyperprosopon ellipticum","Silver surfperch","Targeted","X","X",NA,NA
"Hypomesus pretiosus","Surf smelt","Targeted","X",NA,NA,NA
"Hypsurus caryi","Rainbow seaperch","Targeted","X","X",NA,"X"
"Hypsypops rubicundus","Garibaldi damselfish","Nontargeted",NA,"X","X","X"
"Kyphosus azureus","Zebra-perch sea chub","Targeted","X","X",NA,NA
"Leiocottus hirundo","Lavender sculpin","Nontargeted",NA,"X",NA,NA
"Lepidopsetta bilineata","Pacific rock sole","Targeted",NA,NA,"X","X"
"Leptocottus armatus","Pacific staghorn sculpin","Nontargeted","X","X",NA,"X"
"Lethops connectens","Halfblind goby","Nontargeted",NA,"X",NA,NA
"Lycodes pacificus","Blackbelly eelpout","Targeted",NA,NA,NA,"X"
"Lyopsetta exilis","Slender sole","Targeted",NA,NA,NA,"X"
"Lythrypnus dalli","Bluebanded goby","Nontargeted",NA,NA,NA,"X"
"Macrouridae spp",NA,"Nontargeted",NA,NA,NA,"X"
"Medialuna californiensis","Halfmoon","Targeted","X","X","X","X"
"Menticirrhus undulatus","California kingcroaker","Targeted","X",NA,NA,NA
"Merluccius productus","North Pacific hake","Targeted",NA,NA,NA,"X"
"Micrometrus aurora","Reef perch","Nontargeted","X",NA,NA,NA
"Micrometrus minimus","Dwarf perch","Nontargeted","X","X",NA,NA
"Microstomus pacificus","Dover sole","Targeted",NA,NA,NA,"X"
"Mola mola","Ocean sunfish","Nontargeted",NA,"X",NA,"X"
"Morone saxatilis","Striped bass","Targeted","X",NA,NA,NA
"Mugil cephalus","Flathead grey mullet","Targeted","X",NA,NA,NA
"Myliobatis californica","Bat eagle ray","Targeted","X","X","X","X"
"Neoclinus blanchardi","Sarcastic fringehead","Nontargeted",NA,"X","X",NA
"Notorynchus cepedianus","Broadnose sevengill shark","Targeted",NA,"X",NA,NA
"Oncorhynchus tshawytscha","Chinook salmon","Targeted",NA,NA,"X",NA
"Ophiodon elongatus","Lingcod","Targeted",NA,"X","X","X"
"Osmeridae spp",NA,"Targeted",NA,NA,NA,"X"
"Oxyjulis californica","Señorita","Nontargeted",NA,"X","X","X"
"Oxylebius pictus","Painted greenling","Nontargeted",NA,"X","X","X"
"Paralabrax clathratus","Kelp bass","Targeted","X","X","X","X"
"Paralabrax maculatofasciatus","Spotted sand bass","Targeted",NA,"X",NA,NA
"Paralabrax nebulifer","Barred sand bass","Targeted",NA,"X","X",NA
"Paralichthyidae spp",NA,"Targeted","X",NA,NA,"X"
"Paralichthys californicus","California flounder","Targeted","X","X","X","X"
"Parophrys vetulus","English sole","Targeted",NA,NA,NA,"X"
"Pegusa lascaris","Sand sole","Targeted",NA,NA,NA,"X"
"Phanerodon atripes","Sharpnose seaperch","Nontargeted",NA,"X","X","X"
"Phanerodon furcatus","White seaperch","Targeted","X","X",NA,"X"
"Phanerodon vacca","Pile perch","Targeted","X","X","X","X"
"Pholidae spp",NA,"Nontargeted","X","X",NA,NA
"Platichthys stellatus","Starry flounder","Targeted","X",NA,NA,"X"
"Platyrhinoidis triseriata","Thornback guitarfish","Nontargeted","X","X",NA,NA
"Pleuronectidae spp",NA,"Targeted",NA,"X",NA,"X"
"Pleuronichthys coenosus","C-O sole","Nontargeted",NA,"X",NA,NA
"Pleuronichthys ritteri","Spotted turbot","Nontargeted",NA,NA,NA,"X"
"Porichthys notatus","Plainfin midshipman","Nontargeted",NA,"X",NA,"X"
"Prionace glauca","Blue shark","Targeted",NA,"X",NA,NA
"Prognathodes falcifer","Scythemarked butterflyfish","Nontargeted",NA,"X",NA,NA
"Psettichthys melanostictus","Pacific sand sole","Targeted","X",NA,"X",NA
"Pseudobatos productus","Shovelnose guitarfish","Targeted","X","X",NA,NA
"Rajidae spp",NA,"Targeted",NA,NA,NA,"X"
"Rathbunella alleni",NA,"Nontargeted",NA,"X",NA,NA
"Rathbunella hypoplecta","Stripefin ronquil","Nontargeted",NA,"X",NA,"X"
"Rhacochilus toxotes","Rubberlip seaperch","Targeted",NA,"X","X","X"
"Rhamphocottus richardsonii","Grunt sculpin","Nontargeted",NA,"X",NA,NA
"Rhinogobiops nicholsii","Blackeye goby","Nontargeted",NA,"X",NA,"X"
"Roncador stearnsii","Spotfin croaker","Targeted","X",NA,NA,NA
"Ronquilus jordani","Northern ronquil","Nontargeted",NA,"X",NA,NA
"Sarda chiliensis","Eastern Pacific bonito","Targeted",NA,"X","X",NA
"Sardinops sagax","South American pilchard","Targeted","X","X","X",NA
"Sciaenidae spp",NA,"Targeted",NA,NA,NA,"X"
"Scomber japonicus","Chub mackerel","Targeted",NA,"X","X",NA
"Scombridae spp",NA,"Targeted",NA,NA,"X",NA
"Scorpaena guttata","California scorpionfish","Targeted",NA,"X","X","X"
"Scorpaenichthys marmoratus","Cabezon","Targeted","X","X","X","X"
"Scorpaenidae spp",NA,"Targeted",NA,NA,NA,"X"
"Scorpaenodes xyris","Rainbow scorpionfish","Nontargeted",NA,"X",NA,NA
"Sebastes atrovirens","Kelp rockfish","Targeted",NA,"X","X","X"
"Sebastes auriculatus","Brown rockfish","Targeted",NA,"X","X","X"
"Sebastes aurora","Aurora rockfish","Targeted",NA,NA,NA,"X"
"Sebastes babcocki","Redbanded rockfish","Nontargeted",NA,NA,NA,"X"
"Sebastes borealis","Shortraker rockfish","Targeted",NA,NA,NA,"X"
"Sebastes carnatus","Gopher rockfish","Targeted",NA,"X","X","X"
"Sebastes caurinus","Copper rockfish","Targeted",NA,"X","X","X"
"Sebastes chlorostictus","Greenspotted rockfish","Targeted",NA,NA,NA,"X"
"Sebastes chrysomelas","Black-and-yellow rockfish","Targeted",NA,"X","X","X"
"Sebastes constellatus","Starry rockfish","Targeted",NA,NA,"X","X"
"Sebastes crameri","Darkblotched rockfish","Targeted",NA,NA,NA,"X"
"Sebastes dallii","Calico rockfish","Targeted",NA,"X","X","X"
"Sebastes diaconus","Deacon rockfish","Targeted",NA,NA,"X",NA
"Sebastes diploproa","Splitnose rockfish","Targeted",NA,"X",NA,"X"
"Sebastes elongatus","Greenstriped rockfish","Targeted",NA,NA,NA,"X"
"Sebastes ensifer","Swordspine rockfish","Targeted",NA,NA,NA,"X"
"Sebastes entomelas","Widow rockfish","Targeted",NA,"X","X","X"
"Sebastes flavidus","Yellowtail rockfish","Targeted",NA,NA,"X","X"
"Sebastes goodei","Chilipepper rockfish","Targeted",NA,NA,NA,"X"
"Sebastes helvomaculatus","Rosethorn rockfish","Nontargeted",NA,NA,NA,"X"
"Sebastes hopkinsi","Squarespot rockfish","Targeted",NA,"X","X","X"
"Sebastes jordani","Shortbelly rockfish","Targeted",NA,NA,NA,"X"
"Sebastes lentiginosus","Freckled rockfish","Targeted",NA,NA,"X","X"
"Sebastes levis","Cowcod","Targeted",NA,NA,NA,"X"
"Sebastes maliger","Quillback rockfish","Targeted",NA,"X","X","X"
"Sebastes melanops","Black rockfish","Targeted",NA,"X","X","X"
"Sebastes melanostomus","Blackgill rockfish","Targeted",NA,NA,NA,"X"
"Sebastes miniatus","Vermilion rockfish","Targeted",NA,"X","X","X"
"Sebastes mystinus","Blue rockfish","Targeted",NA,"X","X","X"
"Sebastes nebulosus","China rockfish","Targeted",NA,"X","X","X"
"Sebastes nigrocinctus","Tiger rockfish","Targeted",NA,NA,"X","X"
"Sebastes ovalis","Speckled rockfish","Targeted",NA,NA,NA,"X"
"Sebastes paucispinis","Bocaccio rockfish","Targeted","X","X","X","X"
"Sebastes pinniger","Canary rockfish","Targeted",NA,"X","X","X"
"Sebastes rastrelliger","Grass rockfish","Targeted","X","X","X",NA
"Sebastes rosaceus","Rosy rockfish","Targeted",NA,"X","X","X"
"Sebastes rosenblatti","Greenblotched rockfish","Targeted",NA,NA,NA,"X"
"Sebastes ruberrimus","Yelloweye rockfish","Targeted",NA,NA,"X","X"
"Sebastes rubrivinctus","Flag rockfish","Targeted",NA,"X",NA,"X"
"Sebastes rufus","Bank rockfish","Targeted",NA,NA,NA,"X"
"Sebastes saxicola","Stripetail rockfish","Targeted",NA,"X",NA,"X"
"Sebastes semicinctus","Halfbanded rockfish","Targeted",NA,"X",NA,"X"
"Sebastes serranoides","Olive rockfish","Targeted",NA,NA,"X","X"
"Sebastes serriceps","Treefish","Targeted",NA,"X","X","X"
"Sebastes simulator","Pinkrose rockfish","Targeted",NA,NA,NA,"X"
"Sebastes spp",NA,"Targeted","X","X","X","X"
"Sebastes umbrosus","Honeycomb rockfish","Targeted",NA,"X","X","X"
"Sebastes wilsoni","Pygmy rockfish","Nontargeted",NA,NA,NA,"X"
"Sebastidae spp",NA,"Targeted",NA,NA,NA,"X"
"Sebastolobus alascanus","Shortspine thornyhead","Targeted",NA,NA,NA,"X"
"Semicossyphus pulcher","California sheephead","Targeted",NA,"X","X","X"
"Seriola lalandi","Yellowtail amberjack","Targeted",NA,"X","X","X"
"Seriphus politus","Queen croaker","Targeted","X",NA,NA,NA
"Sphyraena argentea","Pacific barracuda","Targeted",NA,"X","X",NA
"Squalus acanthias","Picked dogfish","Targeted",NA,"X","X",NA
"Squatina californica","Pacific angelshark","Targeted",NA,"X",NA,"X"
"Stellerina xyosterna","Pricklebreast poacher","Nontargeted","X",NA,NA,NA
"Stereolepis gigas","Giant seabass","Nontargeted",NA,"X","X","X"
"Stichaeidae spp",NA,"Nontargeted",NA,"X",NA,NA
"Syngnathus californiensis","Kelp pipefish","Nontargeted","X",NA,NA,NA
"Syngnathus leptorhynchus","Bay pipefish","Nontargeted","X",NA,NA,NA
"Syngnathus spp",NA,"Nontargeted","X","X",NA,NA
"Synodus lucioceps","California lizardfish","Nontargeted",NA,"X","X","X"
"Tetronarce californica","Pacific electric ray","Nontargeted",NA,"X",NA,"X"
"Thaleichthys pacificus","Eulachon","Targeted",NA,"X",NA,NA
"Trachurus symmetricus","Pacific jack mackerel","Targeted",NA,"X","X",NA
"Triakis semifasciata","Leopard shark","Targeted","X","X",NA,NA
"Ulvicola sanctaerosae","Kelp gunnel","Nontargeted",NA,"X",NA,NA
"Umbrina roncador","Yellowfin drum","Targeted","X",NA,"X",NA
"Urobatis halleri","Haller's round ray","Targeted","X","X",NA,NA
"Xystreurys liolepis","Fantail flounder","Targeted",NA,NA,"X",NA
"Zalembius rosaceus","Pink seaperch","Nontargeted",NA,"X",NA,"X"
"Zaniolepis frenata","Shortspine combfish","Nontargeted",NA,NA,NA,"X"
"Zaniolepis latipinnis","Longspine combfish","Nontargeted",NA,NA,NA,"X"
"Zaniolepis spp",NA,"Nontargeted",NA,NA,NA,"X"
"Zapteryx exasperata","Banded guitarfish","Targeted",NA,"X",NA,NA
"Zoarcidae spp",NA,"Nontargeted","X",NA,NA,"X"
